appid,avg_playtime
10,39739
100,5331
1000000,555
1000010,1575
1000030,4089
1000080,669
1000130,1637
1000280,862
1000310,358
1000360,1202
1000410,852
1000440,920
1000470,584
1000480,610
1000500,2981
1000510,122
1000640,240
1000700,232
1000750,3796
1000760,779
1000770,383
1000810,189
1000830,6446
1000870,241
1000990,275
1001010,247
1001040,1519
1001070,1262
1001140,496
1001200,287
1001220,1857
1001230,826
1001240,361
1001430,1381
1001490,3358
1001500,888
1001590,252
1001600,418
1001640,196
1001660,143
1001740,314
1001800,677
1001880,157
1001960,196
1001970,2252
1001980,1182
1002,838
1002000,634
1002030,137
1002180,202
1002200,161
1002210,131
1002230,195
1002270,1231
1002280,242
1002300,1484
1002310,188
1002410,352
1002420,536
1002430,1516
1002440,15872
1002490,628
1002500,227
1002510,288
1002520,683
1002540,239
1002560,2221
1002580,281
1002590,302
1002650,233
1002670,1551
1002830,334
1002910,1173
1002960,4259
1003020,1538
1003090,872
1003120,232
1003150,178
1003190,214
1003230,494
1003320,13171
1003360,714
1003370,525
1003400,2572
1003450,592
1003480,635
1003490,1373
1003520,2664
1003560,371
1003590,2524
1003600,278
1003670,609
1003730,1296
1003750,235
1003760,5191
1003840,594
1003860,724
1003880,463
1003890,848
100400,23209
1004000,361
1004030,219
1004040,398
1004050,174
1004100,2752
1004150,548
1004170,123
1004210,197
1004230,220
1004240,13128
1004270,3527
1004310,403
1004330,260
1004350,141
1004370,679
1004490,818
1004500,565
1004510,566
1004550,322
1004560,916
1004570,481
1004610,337
1004620,559
1004650,128
1004740,4655
1004750,2231
1004770,5013
1004860,464
1005000,840
1005050,1284
1005060,2079
1005120,2666
1005130,1699
1005240,4580
1005300,1335
1005310,847
1005400,3473
1005410,595
1005420,121
1005450,550
1005460,2207
1005530,3672
1005630,303
1005730,264
1005780,916
1005890,862
1005900,198
1005930,2846
1005950,1930
1005990,1016
1006120,270
1006140,38156
1006150,471
1006160,775
1006220,450
1006250,532
1006270,4511
1006400,382
1006430,268
1006440,874
1006450,3051
1006460,1667
1006600,209
1006700,1334
1006710,2423
1006720,325
1006760,535
1006800,766
1006850,17691
1006920,1803
1006930,743
1007040,6858
1007050,137
1007070,1088
1007140,352
1007180,248
1007200,397
1007240,1044
1007280,127
1007350,707
1007390,369
1007400,3088
1007430,186
1007440,1906
1007520,2642
1007560,379
1007630,691
1007730,206
1007800,736
1007810,1483
1007830,421
1007840,9757
1007880,501
1007940,5098
1008010,196
1008020,1823
1008140,2297
1008160,145
1008230,420
1008250,158
1008280,1007
1008290,224
1008320,316
1008430,736
1008510,637
1008520,395
1008610,776
1008680,357
1008690,182
1008700,1528
1008710,10013
1008740,198
1008800,3274
1008830,178
1008870,182
1008920,227
1008950,415
10090,7043
1009180,671
1009210,502
1009240,128
1009290,6295
1009330,1032
1009350,256
1009390,403
1009450,5284
1009460,19494
1009560,2953
1009590,1245
1009700,1625
1009750,938
1009780,253
1009850,10425
1009920,280
1009940,269
